"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 14 02:59:40 GMT 2024","Sun Jan 14 02:59:41 GMT 2024","970","tests.user","test_role","TestGetAllRoles","","","test_getAllRoles_return200AndData[User.SUPERUSER]",""
"passed","Sun Jan 14 02:59:46 GMT 2024","Sun Jan 14 02:59:46 GMT 2024","556","tests.user","test_token","TestLogin","","","test_loginUser_withValidEmailAndWrongPassword_returns401AndError[User.NONE-User.FACILITY_ADMIN]","
        GIVEN valid email and valid password,
        WHEN POST /user/token/ request is executed,
        THEN response code should be 200,
        AND response body contains access and refresh tokens.
        "
"passed","Sun Jan 14 02:29:49 GMT 2024","Sun Jan 14 02:29:49 GMT 2024","479","tests.customer","test_delivery_schedule","TestGetDeliverySchedule","","","test_getDeliverySchedule_withValidID_returns200AndData[User.SUPERUSER]",""
"passed","Sun Jan 14 02:59:37 GMT 2024","Sun Jan 14 02:59:37 GMT 2024","66","tests.user","test_menu","TestMenu","","","test_unauthGetMenuList_returnsError[User.NONE]",""
"passed","Sun Jan 14 02:58:05 GMT 2024","Sun Jan 14 02:58:05 GMT 2024","104","tests.driver_process","test_driver_process","TestGetOrders","","","test_getOrders_withWrongDriver_returns400AndError[User.SUPERUSER]",""
"passed","Sun Jan 14 02:59:30 GMT 2024","Sun Jan 14 02:59:32 GMT 2024","1697","tests.staging","test_staging","TestSubmitAction","","","test_submitAction_withValidData_returns200AndData[User.SUPERUSER]",""
"passed","Sun Jan 14 02:59:02 GMT 2024","Sun Jan 14 02:59:03 GMT 2024","98","tests.order","test_driver_assignment","TestGetUnassignedOrders","","","test_getUnassignedOrders_withNotExistingFacility_returns400AndError[User.SUPERUSER]",""
"passed","Sun Jan 14 02:58:41 GMT 2024","Sun Jan 14 02:58:42 GMT 2024","1078","tests.metro","test_cart_build","TestCreateCart","","","test_createCart_withValidData_returns200AndData[User.SUPERUSER]",""
"passed","Sun Jan 14 02:59:38 GMT 2024","Sun Jan 14 02:59:39 GMT 2024","671","tests.user","test_role","TestCreateRole","","","test_createDriverRole_returns201AndData[User.SUPERUSER]",""
"passed","Sun Jan 14 02:58:26 GMT 2024","Sun Jan 14 02:58:26 GMT 2024","101","tests.facility","test_facility","TestFacilityWithoutSectionParam","","","test_GET_ALL_returns200AndData[User.FACILITY_ADMIN]","
        Get all customers is allowed without section param.
        "
