"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 02:56:27 GMT 2024","Tue Feb 13 02:56:27 GMT 2024","384","tests.user","test_role","TestCreateRole","","","test_createRole_withValidData_returns201AndData[User.FACILITY_ADMIN]",""
"passed","Tue Feb 13 02:18:08 GMT 2024","Tue Feb 13 02:18:08 GMT 2024","9","tests.customer","test_customer","TestCustomerAuth","","","test_getCustomer_withoutAuthorization_returns400AndError[User.NONE]",""
"passed","Tue Feb 13 02:18:08 GMT 2024","Tue Feb 13 02:18:08 GMT 2024","46","tests.customer","test_customer","TestUpdateCustomer","","","test_updateCustomer_notSuperuser_returns403AndError[User.FACILITY_ADMIN]",""
"passed","Tue Feb 13 02:55:38 GMT 2024","Tue Feb 13 02:55:38 GMT 2024","141","tests.facility","test_facility","TestUpdateFacility","","","test_updateFacilityStatus_byValidID_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:18:05 GMT 2024","Tue Feb 13 02:18:05 GMT 2024","107","tests.customer","test_customer","TestCreateCustomer","","","test_createCustomer_withExistingNameAndBarcode_returns400AndError[User.SUPERUSER-existing_data1-error1]",""
"passed","Tue Feb 13 02:18:09 GMT 2024","Tue Feb 13 02:18:09 GMT 2024","206","tests.customer","test_customer_contact","TestCreateCustomerContact","","","test_createCustomerContact_withValidData_returns201AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:18:08 GMT 2024","Tue Feb 13 02:18:08 GMT 2024","49","tests.customer","test_customer","TestCustomerWithoutSectionParam","","","test_GET_ALL_returns200AndData[User.SUPERUSER]","
        Get all customers is allowed without section param.
        "
"passed","Tue Feb 13 02:18:11 GMT 2024","Tue Feb 13 02:18:11 GMT 2024","277","tests.customer","test_customer_contact","TestUpdateCustomerContact","","","test_updateCustomerContact_withValidID_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:56:33 GMT 2024","Tue Feb 13 02:56:34 GMT 2024","428","tests.user","test_token","TestLogin","","","test_loginUser_withValidEmailAndWrongPassword_returns401AndError[User.NONE-User.FACILITY_ADMIN]","
        GIVEN valid email and valid password,
        WHEN POST /user/token/ request is executed,
        THEN response code should be 200,
        AND response body contains access and refresh tokens.
        "
"passed","Tue Feb 13 02:55:37 GMT 2024","Tue Feb 13 02:55:37 GMT 2024","139","tests.facility","test_facility","TestCreateFacility","","","test_createFacility_withExistingName_returns400AndError[User.SUPERUSER]",""
"passed","Tue Feb 13 02:56:32 GMT 2024","Tue Feb 13 02:56:32 GMT 2024","511","tests.user","test_role","TestDeleteRole","","","test_deleteRoleBySuperuser_withValidID_returns204[User.SUPERUSER]",""
"passed","Tue Feb 13 02:55:59 GMT 2024","Tue Feb 13 02:55:59 GMT 2024","57","tests.metro","test_metro_item_configuration","TestDeleteMetroItemTypeConfiguration","","","test_deleteMetroItemConfigBySuperuser_byValidID_returns404[User.SUPERUSER]",""
"passed","Tue Feb 13 02:18:16 GMT 2024","Tue Feb 13 02:18:17 GMT 2024","499","tests.dashboards","test_inventory","TestGetCurrentInventory","","","test_getCurrentInventory_withItemTypes_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:55:41 GMT 2024","Tue Feb 13 02:55:42 GMT 2024","311","tests.facility","test_truck","TestDeleteTruck","","","test_deleteTruck_withValidID_returns204[User.SUPERUSER]",""
"passed","Tue Feb 13 02:18:07 GMT 2024","Tue Feb 13 02:18:07 GMT 2024","50","tests.customer","test_customer","TestGetCustomer","","","test_getCustomer_withWrongID_returns404AndError[User.SUPERUSER]",""
"passed","Tue Feb 13 02:18:08 GMT 2024","Tue Feb 13 02:18:08 GMT 2024","140","tests.customer","test_customer","TestDeleteCustomer","","","test_deleteCustomer_withValidID_returns204[User.SUPERUSER]",""
"passed","Tue Feb 13 02:55:39 GMT 2024","Tue Feb 13 02:55:39 GMT 2024","14","tests.facility","test_facility","TestFacilityAuth","","","test_getFacilities_unauthRequest_returns400AndError[User.NONE]",""
"passed","Tue Feb 13 02:56:26 GMT 2024","Tue Feb 13 02:56:27 GMT 2024","426","tests.user","test_role","TestCreateRole","","","test_createRole_withValidData_returns201AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:56:12 GMT 2024","Tue Feb 13 02:56:12 GMT 2024","271","tests.order","test_order","TestGetOrder","","","test_getOrder_withValidID_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:56:29 GMT 2024","Tue Feb 13 02:56:29 GMT 2024","877","tests.user","test_role","TestGetAllRoles","","","test_getAllRoles_return200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:56:19 GMT 2024","Tue Feb 13 02:56:19 GMT 2024","270","tests.staging","test_staging","TestGetMetroList","","","test_getMetroList_withExistingOrderAndNoMetros_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:56:34 GMT 2024","Tue Feb 13 02:56:34 GMT 2024","432","tests.user","test_token","TestLogin","","","test_loginUser_withWrongEmailAndWrongPassword_returns401AndError[User.NONE-porterjames@example.org-8i(06VthP@]",""
"passed","Tue Feb 13 02:56:30 GMT 2024","Tue Feb 13 02:56:31 GMT 2024","579","tests.user","test_role","TestGetRole","","","test_getRoleBySuperuser_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:55:39 GMT 2024","Tue Feb 13 02:55:39 GMT 2024","35","tests.facility","test_facility","TestFacilityWithoutSectionParam","","","test_PATCH_DELETE_withSuperuser_returns400AndError[User.SUPERUSER-PATCH]",""
"passed","Tue Feb 13 02:56:18 GMT 2024","Tue Feb 13 02:56:19 GMT 2024","755","tests.staging","test_staging","TestRemoveMetro","","","test_removeMetro_withValidData_returns200AndData[User.SUPERUSER]",""
"passed","Tue Feb 13 02:18:09 GMT 2024","Tue Feb 13 02:18:09 GMT 2024","36","tests.customer","test_customer","TestCustomerWithoutSectionParam","","","test_GET_PATCH_DELETE_returns400AndError[User.SUPERUSER-GET]",""
"passed","Tue Feb 13 02:55:42 GMT 2024","Tue Feb 13 02:55:42 GMT 2024","192","tests.inventory","test_inventory_location","TestCreateInventoryLocation","","","test_createInventoryLocation_withValidData_returns201AndData[User.SUPERUSER-exit]",""
"passed","Tue Feb 13 02:18:09 GMT 2024","Tue Feb 13 02:18:09 GMT 2024","194","tests.customer","test_customer_contact","TestCreateCustomerContact","","","test_createCustomerContact_withWrongCustomer_returns400AndError[User.SUPERUSER]",""
"passed","Tue Feb 13 02:55:47 GMT 2024","Tue Feb 13 02:55:47 GMT 2024","119","tests.items","test_inventory_category","TestDeleteInventoryCategory","","","test_deleteInventoryCategoryBySuperuser_withValidID_returns204[User.SUPERUSER]",""
