"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 06:18:28 GMT 2023","Wed May 24 06:18:28 GMT 2023","349","tests.staging","test_staging","TestAssignMetro","","","test_assignMetro_withMetroWithoutCartBuild_returns400AndError[User.SUPERUSER]",""
"passed","Wed May 24 06:18:42 GMT 2023","Wed May 24 06:18:42 GMT 2023","477","tests.user","test_role","TestCreateRole","","","test_createRole_withValidData_returns201AndData[User.SUPERUSER]",""
"passed","Wed May 24 06:17:42 GMT 2023","Wed May 24 06:17:42 GMT 2023","235","tests.customer","test_customer","TestUpdateCustomer","","","test_updateCustomer_withExistingNameAndBarcode_returns400AndError[User.SUPERUSER]",""
"passed","Wed May 24 06:18:25 GMT 2023","Wed May 24 06:18:26 GMT 2023","199","tests.staging","test_staging","TestGetOrders","","","test_getOrders_forFacilityWithNoOrders_returns200AndData[User.SUPERUSER]",""
"passed","Wed May 24 06:18:58 GMT 2023","Wed May 24 06:18:59 GMT 2023","1236","tests.user","test_users","TestGetUser","","","test_getsUserByFacilityAdmin_withValidID_returns200AndData[User.FACILITY_ADMIN]",""
"passed","Wed May 24 06:18:28 GMT 2023","Wed May 24 06:18:29 GMT 2023","281","tests.staging","test_staging","TestAssignMetro","","","test_assignMetro_withWrongMetro_returns400AndError[User.SUPERUSER]",""
"passed","Wed May 24 06:17:52 GMT 2023","Wed May 24 06:17:53 GMT 2023","971","tests.driver_process","test_driver_process","TestGetMetroList","","","test_getMetroList_withValidData_returns200AndData[User.SUPERUSER]",""
"passed","Wed May 24 06:17:43 GMT 2023","Wed May 24 06:17:43 GMT 2023","165","tests.customer","test_customer","TestCustomerWithoutSectionParam","","","test_POST_returns400AndError[User.SUPERUSER]",""
"passed","Wed May 24 06:17:43 GMT 2023","Wed May 24 06:17:43 GMT 2023","9","tests.customer","test_customer","TestCustomerAuth","","","test_getCustomer_unauthRequest_returns400AndError[User.NONE]",""
"passed","Wed May 24 06:18:08 GMT 2023","Wed May 24 06:18:08 GMT 2023","338","tests.items","test_facility_item_type","TestDeleteFacilityItemType","","","test_deleteFacilityItemTypeBySuperuser_withValidID_returns204[User.SUPERUSER]",""
"passed","Wed May 24 06:18:03 GMT 2023","Wed May 24 06:18:03 GMT 2023","278","tests.facility","test_truck","TestGetTruck","","","test_getTruck_withValidID_returns200AndData[User.SUPERUSER]",""
"passed","Wed May 24 06:18:32 GMT 2023","Wed May 24 06:18:33 GMT 2023","830","tests.staging","test_staging","TestGetMetroList","","","test_getMetroList_withExistingOrderAndWithMetros_returns200AndData[User.SUPERUSER]",""
"passed","Wed May 24 06:18:02 GMT 2023","Wed May 24 06:18:02 GMT 2023","38","tests.facility","test_facility","TestFacilityWithoutSectionParam","","","test_PATCH_DELETE_returns400AndError[User.FACILITY_USER-PATCH]",""
"passed","Wed May 24 06:18:56 GMT 2023","Wed May 24 06:18:57 GMT 2023","1385","tests.user","test_users","TestGetUser","","","test_getsUserBySuperuser_withValidID_returns200AndData[User.SUPERUSER]",""
"passed","Wed May 24 06:18:50 GMT 2023","Wed May 24 06:18:50 GMT 2023","362","tests.user","test_token","TestLogin","","","test_loginUser_withValidCredentials_returns200AndTokens[User.NONE-User.SUPERUSER]","
        GIVEN valid email and valid password,
        WHEN POST /user/token/ request is executed,
        THEN response code should be 200,
        AND response body should contain access and refresh tokens.
        "
"passed","Wed May 24 06:18:09 GMT 2023","Wed May 24 06:18:10 GMT 2023","671","tests.metro","test_cart_build","TestCreateCart","","","test_createCart_withValidData_returns200AndData[User.SUPERUSER]",""
